date, valuePerTh
2020-01-11,0.156
2020-01-12,0.14
2020-01-13,0.14
2020-01-14,0.169
2020-01-15,0.149
2020-01-16,0.163
2020-01-17,0.141
2020-01-18,0.143
2020-01-19,0.166
2020-01-20,0.149
2020-01-21,0.142
2020-01-22,0.16
2020-01-23,0.143
2020-01-24,0.139
2020-01-25,0.15
2020-01-26,0.134
2020-01-27,0.137
2020-01-28,0.161
2020-01-29,0.163
2020-01-30,0.148
2020-01-31,0.153
2020-02-01,0.149
2020-02-02,0.159
2020-02-03,0.156
2020-02-04,0.14
2020-02-05,0.168
2020-02-06,0.143
2020-02-07,0.166
2020-02-08,0.161
2020-02-09,0.184
2020-02-10,0.136
2020-02-11,0.184
2020-02-12,0.167
2020-02-13,0.174
2020-02-14,0.15
2020-02-15,0.178
2020-02-16,0.163
2020-02-17,0.17
2020-02-18,0.155
2020-02-19,0.161
2020-02-20,0.154
2020-02-21,0.164
2020-02-22,0.158
2020-02-23,0.164
2020-02-24,0.158
2020-02-25,0.153
2020-02-26,0.147
2020-02-27,0.147
2020-02-28,0.148
2020-02-29,0.129
2020-03-01,0.158
2020-03-02,0.133
2020-03-03,0.145
2020-03-04,0.151
2020-03-05,0.14
2020-03-06,0.152
2020-03-07,0.147
2020-03-08,0.137
2020-03-09,0.126
2020-03-10,0.113
2020-03-11,0.111
2020-03-12,0.12
2020-03-13,0.0787
2020-03-14,0.0805
2020-03-15,0.0849
2020-03-16,0.0777
2020-03-17,0.0878
2020-03-18,0.0693
2020-03-19,0.0901
2020-03-20,0.107
2020-03-21,0.0999
2020-03-22,0.0939
2020-03-23,0.0972
2020-03-24,0.108
2020-03-25,0.0871
2020-03-26,0.152
2020-03-27,0.118
2020-03-28,0.103
2020-03-29,0.121
2020-03-30,0.113
2020-03-31,0.123
2020-04-01,0.114
2020-04-02,0.123
2020-04-03,0.114
2020-04-04,0.138
2020-04-05,0.131
2020-04-06,0.105
2020-04-07,0.148
2020-04-08,0.12
2020-04-09,0.13
2020-04-10,0.123
2020-04-11,0.116
2020-04-12,0.114
2020-04-13,0.126
2020-04-14,0.113
2020-04-15,0.122
2020-04-16,0.112
2020-04-17,0.111
2020-04-18,0.136
2020-04-19,0.121
2020-04-20,0.125
2020-04-21,0.109
2020-04-22,0.0962
2020-04-23,0.128
2020-04-24,0.119
2020-04-25,0.125
2020-04-26,0.116
2020-04-27,0.125
2020-04-28,0.127
2020-04-29,0.128
2020-04-30,0.154
2020-05-01,0.148
2020-05-02,0.14
